,pw,spv,ta
ACCESS-CM2,1.5739096,0.42659193,1.6841599
ACCESS-ESM1-5,1.746358,-0.41469976,1.6763936
BCC-CSM2-MR,1.7265877,-0.5067972,1.6778388
CAMS-CSM1-0,1.5119971,-1.475723,1.8238873
CAS-ESM2-0,1.4847262,-0.13662282,1.6303804
CESM2-WACCM,1.3430283,-0.84987813,1.7249993
CESM2,1.1554745,-0.44443634,1.7651091
CIESM,1.3761812,0.16154611,1.6795915
CMCC-CM2-SR5,1.5904078,-0.21262835,1.572485
CMCC-ESM2,1.561613,0.1729419,1.6339637
CNRM-CM6-1,1.5526509,-1.0850387,1.821887
CNRM-ESM2-1,1.6206989,-0.98950285,1.8008497
CanESM5,1.7572547,0.27850544,1.7015182
E3SM-1-0,1.7981788,-0.061088655,1.484944
EC-Earth3,1.8096545,-0.8323344,1.580156
FGOALS-g3,1.7005843,-0.7100836,1.8966054
GISS-E2-1-G,1.490276,1.1607982,2.0118577
GISS-E2-1-H,1.6539271,0.4937342,1.8243878
HadGEM3-GC31-LL,1.6440635,-0.03669481,1.5610151
HadGEM3-GC31-MM,1.4929377,-0.058051854,1.578445
IITM-ESM,1.7192731,-0.7977305,1.7540106
INM-CM4-8,1.3511988,0.6735926,1.6660302
INM-CM5-0,1.5006119,0.22223209,1.4747393
IPSL-CM6A-LR,1.5698339,-0.0071321763,1.8041575
KACE-1-0-G,1.4780183,0.037836906,1.6556556
MCM-UA-1-0,2.060269,0.7624125,1.5451314
MIROC-ES2L,1.5905946,1.0534766,1.7475595
MIROC6,1.7383925,0.1029027,1.5899986
MPI-ESM1-2-HR,1.8113805,-0.83674914,1.7817667
MPI-ESM1-2-LR,1.7610154,-0.16611613,1.7654359
MRI-ESM2-0,1.727734,-0.50408024,1.8253785
NESM3,1.9288259,0.06935955,1.7611371
NorESM2-LM,1.4967891,1.6102519,1.6463032
NorESM2-MM,1.1841135,-0.4445426,1.7287726
TaiESM1,1.3813806,-0.17857568,1.5807401
UKESM1-0-LL,1.6841644,-0.47566053,1.5324206
